imdb_name_id,name,birth_name,height,bio,birth_details,date_of_birth,place_of_birth,death_details,date_of_death,place_of_death,reason_of_death,spouses_string,spouses,divorces,spouses_with_children,children
nm0063086,Blanche Bayliss,Blanche Bayliss,,Blanche Bayliss was born on July 10- 1878 in Lexington- Missouri- USA. She was an actress- known for Miss Jerry (1894). She died on August 19- 1951 in Forest Hills- New York- USA.,July 10- 1878 in¶ÿLexington- Missouri- USA,1878-07-10,Lexington- Missouri- USA,August 19- 1951 in¶ÿForest Hills- New York- USA,19/08/1951,Forest Hills- New York- USA,,,0,0,0,0
nm0183823,William Courtenay,William Hancock Kelly,,William Courtenay was born on June 19- 1875 in Worcester- Massachusetts- USA as William Hancock Kelly. He was an actor- known for Miss Jerry (1894)- The Sacred Flame (1929) and L'ombra dell'apocalisse (1930). He was married to Virginia Harned. He died on April 20- 1933 in Rye- New York- USA.,June 19- 1875 in¶ÿWorcester- Massachusetts- USA,1875-06-19,Worcester- Massachusetts- USA,April 20- 1933 in¶ÿRye- New York- USA ¶ÿ(severe cold and heart weakness),20/04/1933,Rye- New York- USA ¶ÿ,severe cold and heart weakness,Virginia Harned  (1913 - 20 April¶ÿ1933)¶ÿ(his death),1,0,0,0
nm1309758,Chauncey Depew,Chauncey Mitchell Depew,,Chauncey Depew was born on April 23- 1834 in Peekskill- New York- USA as Chauncey Mitchell Depew. He was an actor and writer- known for Miss Jerry (1894)- Chauncey Depew (1925) and The Millionaires' Playground (1913). He was married to May Palmer and Elsie Hegeman. He died on April 5- 1928 in New York City- New York.,April 23- 1834 in¶ÿPeekskill- New York- USA,1834-04-23,Peekskill- New York- USA,April 5- 1928 in¶ÿNew York City- New York- USA,05/04/1928,New York City- New York- USA,,"May Palmer  (27 December¶ÿ1901 - 5 April¶ÿ1928)¶ÿ(his death)
Elsie Hegeman  (9 November¶ÿ1871 - 7 May¶ÿ1893)¶ÿ(her death)¶ÿ(1 child)",2,0,1,1
nm0085156,Alexander Black,Alexander Black,,,February 7- 1859 in¶ÿBrooklyn- New York- USA,1859-02-07,Brooklyn- New York- USA,May 8- 1940 in¶ÿNew York City- New York- USA,08/05/1940,New York City- New York- USA,,,0,0,0,0
nm0846887,Elizabeth Tait,Elizabeth Tait,,Elizabeth Tait was born in 1879 in Australia. She is an actress- known for The Story of the Kelly Gang (1906).,1879 in¶ÿAustralia,1879 in¶ÿAustralia,Australia,,,,,,0,0,0,0
nm0846894,John Tait,John Henry Tait,,John Tait was born on November 10- 1871 in Castlemaine- Victoria- Australia as John Henry Tait. He was an actor and producer- known for The Story of the Kelly Gang (1906). He died on September 23- 1955 in Malvern- Melbourne- Victoria.,November 10- 1871 in¶ÿCastlemaine- Victoria- Australia,1871-11-10,Castlemaine- Victoria- Australia,September 23- 1955 in¶ÿMalvern- Melbourne- Victoria- Australia,23/09/1955,Malvern- Melbourne- Victoria- Australia,,,0,0,0,0
nm3002376,Norman Campbell,Norman Campbell,,Norman Campbell is an actor- known for The Story of the Kelly Gang (1906) and Efftee's Australia (1989).,,,,,,,,,0,0,0,0
nm0170118,Bella Cola,Bella Cola,,Bella Cola is an actress- known for The Story of the Kelly Gang (1906).,,,,,,,,,0,0,0,0
nm0846879,Charles Tait,Charles Tait,,,November 15- 1868 in¶ÿCastlemaine- Victoria- Australia,1868-11-15,Castlemaine- Victoria- Australia,June 27- 1933 in¶ÿMelbourne- Victoria- Australia ¶ÿ(hydronephrosis),27/06/1933,Melbourne- Victoria- Australia ¶ÿ,hydronephrosis,,0,0,0,0
nm0317210,W.A. Gibson,W.A. Gibson,,,1870 in¶ÿEngland- UK,1870 in¶ÿEngland- UK,England- UK,1929 in¶ÿAustralia,1929 in¶ÿAustralia,Australia,,,0,0,0,0
nm0425854,Millard Johnson,Millard Johnson,,,1871 in¶ÿAustralia,1871 in¶ÿAustralia,Australia,,,,,,0,0,0,0
nm0846911,Nevin Tait,James Nevin Tait,,,June 27- 1876 in¶ÿCastlemaine- Victoria- Australia,1876-06-27,Castlemaine- Victoria- Australia,March 7- 1961 in¶ÿLondon- England- UK,07/03/1961,London- England- UK,,Elizabeth May Norriss  (27 July¶ÿ1908 - 1939)¶ÿ(her death)¶ÿ(2 children),1,0,1,2
nm2421834,Eric Chapus,Eric Chapus,,"Growing up in St. Tropez in the south of France- Endorphin (aka Eric Chapus) found the allure of exotic lands too great. Traveling to India- Goa- Morocco and throughout the USA in a customized VW Kombi- Eric finally took roots in the tropical rainforests of Queensland (Australia) in a little mountain village called Kuranda. Making music with several experimental ""art"" bands in the 90's Eric began to make music of his own in his forest studio. Entering a national music competition and winning- Eric came into the spotlight after being ""unearthed"" by JJJ (The Australian National Youth Radio Network). Subsequently Sony Music signed him for a five album deal worldwide.In 1996 he delivered an impressive debut album ""Embrace"" and started touring his live electronic show- an eclectic array of visual imagery- music and performance. Endorphin's unique performances have toured with Gatecrasher- Moby- Massive Attack- Portishead- Faithless- Kosheen- Black Eyed Peas and many more nationally.After relocating to Sydney- his second album ""Skin"" reflected a more gritty musical landscape. ""Skin"" drew accolades from both the dance music and mainstream media and won 'Album of the Year' at the inaugural Australian Dance Music Awards. He was also nominated for Best Male Artist at the 2000 ARIA Awards. Endorphins third album- a double CD ""AM/PM"" bought together the two edges to Endorphin's sword. A fusion of ambient sounds found on ""Embrace"" to the robust edginess of ""Skin""- AM/PM delivered the fusion of the chilled out lounge room experience with the four on the floor of the live dance performance. With new audiences now converted- Endorphin was invited to play in Mexico City for the World APEC meeting- Canadian Music Week and the Venezuela Arts Festival in 2002. The demand for Endorphin's music continued to grow with his work included in the Australian hit film ""Looking for Ali Brandi"" and ""Angst""- The 2007 Hollywood trailer for Christopher Walken's new movie ""Balls of Fury""- Scored ""The Story Of The Kelly Gang"" 1906 for the National Film and Sound Archive- a national TV campaign for JJJ (ABC TV)- Jack McCoy's Feature Surf film called ""Blue Horizon"" and ""TO""- Adventure Planet (Beyond Productions)- ""Next Wave""(National Geographic USA)- ""Body Wars"" (Beyond Productions)- ""Martial Hot Spots"" (Discovery Channel)- Sleeper Cell (USA TV)- ""The Block"" (USA TV)- Neighbour's (UK & AUS TV) - McLeod (AUS TV)- Kylie Kwong: Cooking with Heart and Soul (ABC TV)- ""Love Is A Four Letter Word"" (ABC TV)- ""Heartbreak High"" (ABC TV)- ""Head Start"" (ABC TV)- ""Above The Law"" (ABC TV)-""The Cooks"" (ABC TV) and much more. His fourth Album ""Seduction"" expanded his musical repertoire combining rhythmic dance textures with translucent melodic layers infused with a new jazz influence. Endorphin again blends his signature sounds while exploring new musical collaborations with live musicians and singers offering the listener an album that weaves through many levels of emotionally charged tracks. Throughout Endorphin's career he embraces working with some iconic Australian musicians mixing tracks for Icehouse- Paul Kelly- Spiderbait- Sonic Animation- Sunk Loto- Men At Work- Jimmy Little and Tina Arena. With over twenty international compilations including his music the most well known would be on CafÇ¸ Del Mar 6 with his classic track ""Satie"". After a grueling touring for most of the year Endorphin finally took time off the road. Back into the studio once again Endorphin began collaborating with signer/songwriters to produce his next Album called ""Shake It"". Producing an impressive mixture of Middle Eastern sounds- break beats- retro pop- seasoned by soaring female vocals and strong and driving male vocals. Resulting in a very tasteful and spicy dish.With an impressive and successful catalog of music already under his belt- many International companies have been eager to brand their product with Endorphin's music some of which include AMEX (USA)- Sony Digital (UK)- British Aerospace- DNKY Jeans- BMW (Germany)- Sony Ericson- Coca-Cola- The Ritz- Carlton- Four Seasons (Beverly Hills) During 2005 Endorphin was invited to showcase at The World Expo in Japan as the face of contemporary Australian music. Whilst in Japan Eric uses the time there to source sound grabs and interview people that will find its way into his sixth album ""Soon After Silence"". Intent on creating an album that comes from the heart- a very personal soundscape- the latest and critically acclaimed album ""Soon After Silence"" (2007) is a real opus. It is a multi-layered journey rich in texture and meaning. The title track ""Soon after Silence"" reflects the Parisian life Endorphin once led. The sounds echo walks through the streets of Paris and embodies many of the innovative and emotional qualities that are Endorphin's signature.On the touring side in 2007- Endorphin just got back from a huge 7 week National tour of China including 13 major cities",,,,,,,,,0,0,0,0
nm0675239,Orrie Perry,Orizaba George Perry,,Orrie Perry was born on September 14- 1888 in Sandhurst- Bendigo- Victoria- Australia as Orizaba George Perry. He was a cinematographer and actor- known for Soldiers of the Cross (1900)- It Is Never Too Late to Mend (1911) and The Lost Chord (1911). He died on December 29- 1950 in Petersham- Sydney- New South Wales- Australia.,September 14- 1888 in¶ÿSandhurst- Bendigo- Victoria- Australia,1888-09-14,Sandhurst- Bendigo- Victoria- Australia,December 29- 1950 in¶ÿPetersham- Sydney- New South Wales- Australia,29/12/1950,Petersham- Sydney- New South Wales- Australia,,,0,0,0,0
nm0003425,Asta Nielsen,Asta Sofie Amalie Nielsen,,"Danish leading woman of German films who became one of the greatest stars of the silent era. A native of the Copenhagen suburb of Vesterbro- Nielsen was the daughter of a coppersmith and a washerwoman- both of whom died before Nielsen was fifteen. Her stage debut came as a child in the chorus of the Kongelige Teater's production of Boito's opera ""Mephistopheles."" She studied at the Royal Theatre School of Copenhagen and embarked upon a stage career in her late teens. She toured Scandinavia and became one of the highest-paid and most popular stage actresses of her time and place. In 1909- director Urban Gad suggested that the silent screen would allow her to transcend her Danish language barrier- and she agreed appear in his film 'Afgrunden (1910)'. The film was successful and Nielsen was encouraged to continue in this new art form. A German distributor- Paul Davidson- invited Nielsen to Germany- where he was building a film studio which would eventually become Europe's largest--the Universum Film Union A.-G. (or Ufa). Nielsen and her director- Gad- whom she had married- went to Germany and spent the next quarter century there. She became one of the true superstars of the silent screen- a tragic heroine whose photograph during the First World War accompanied German and also British and French troops into battle. Among her notable films after the war was a version of ""Hamlet- "" which was not so much a Shakespearean film as it was an exploration of a then-current theory that the real Hamlet had been- in fact- a woman. Nielsen played the title role. She continued to play a wide variety of roles in Germany and occasionally in Denmark and Norway- never losing the respect and popularity she had maintained almost from the beginning of her career. She abandoned her film work just as sound was taking over the industry. Aside from one or two brief forays in talkies- her acting was thereafter confined to the stage. She died in 1972 at the age of 89- shortly after her fifth marriage.",September 11- 1881 in¶ÿVesterbro- Copenhagen- Denmark,1881-09-11,Vesterbro- Copenhagen- Denmark,May 24- 1972 in¶ÿFrederiksberg- Denmark ¶ÿ(after a leg fracture),24/05/1972,Frederiksberg- Denmark ¶ÿ,after a leg fracture,"Anders Christian Theede  (21 January¶ÿ1970 - 25 May¶ÿ1972)¶ÿ(her death)
Ferdinand WingÇ¾rdh  (31 December¶ÿ1919 - 1923)¶ÿ(divorced)
Urban Gad  (11 May¶ÿ1912 - 1918)¶ÿ(divorced)",3,2,0,0
nm0699637,Valdemar Psilander,Valdemar Einar Psilander,,"Young Danish Valdemar tried to make a success in the theatre when he first appeared on Casino Teater in 1901. He never succeeded on the stage - his voice didn't sound right! But notices were otherwise kind to him.Psilander was good-looking- charming and exuding a certain joie-de-vivre. He soon abandoned his plans of becoming an opera singer- preferring the new medium of motion pictures in 1910.Soon he became a raving hit all over Europe (especially Russia - but never USA) and his exorbitant salary made him the most successful actor at Nordisk Film. In an international vox populi he would even out-shine Asta Nielsen- Henny Porten- Max Linder and other stars.Psilander believed in having fun. The enormous amounts of money (pre-income tax) he made- was spent on a care-free way of life with friends and colleagues. Marrying actress Edith Buemann (1879-1968) in 1911 made no change to his bon-vivant lifestyle. When they separated in 1916 - after long periods of separations - the marriage settlement made her a very wealthy divorcÇ¸e and she would always speak and write affectionately of Valdemar until she died - even after four marriages. During this only marriage and after the divorce- he was associated with actress Gudrun Houlberg. They appeared together in ""Klovnen""- 1917.During the end of 1916 his salary demands were so outrageous that Nordisk Film had to let him go. He was tired of the same old material and he wanted to form his own production company. After having hired actors- actresses- directors and writers - it all suddenly came to a halt.He died in his suite at Bristol Hotel- Copenhagen- at the age of 32 - at the pinnacle of his career.To this very day rumors will insist that Psilander took his own life. In 1917 Nordisk Film would suppress the fact that he HAD died- afraid that the truth might hurt ticket sales.However- records have shown that Psilander had a severe heart condition involving a lot of medication. Combining this with a stressful career as a burgeoning producer ultimately resulted in a brain hemorrhage.But like so many others his early death made him even more popular all over Europe.A notable theater/film colleague had this to say about Psilander: He had a wonderful physique and a splendid face. He was a great charmer and a ladies hero- but his talent was mediocre if not ordinary.Clara Wieth (1883-1975) - who appeared with him in 11 films - had this to say of Psilander: In front of the camera he would just prance around ""putting on airs""- but he did it so splendidly with a keen knowledge of camera technique that it was truly believable.",May 9- 1884 in¶ÿCopenhagen- Denmark,1884-05-09,Copenhagen- Denmark,March 6- 1917 in¶ÿCopenhagen- Denmark,06/03/1917,Copenhagen- Denmark,,Edith Buemann  (? - ?),1,0,0,0
nm0375839,Gunnar Helsengreen,Gunnar Helsengreen,,Gunnar Helsengreen was born on January 26- 1880 in Aars- Denmark. He was an actor and director- known for MenneskeskÇÝbner (1915)- Valdemar Sejr (1910) and Ansigttyven I (1910). He died on October 14- 1939.,January 26- 1880 in¶ÿAars- Denmark,1880-01-26,Aars- Denmark,October 14- 1939,14/10/1939,,,,0,0,0,0
nm0016799,Emil Albes,Emil Albes,,Emil Albes was born on October 30- 1861 in Bad Pyrmont- Lower Saxony- Germany. He was a director and actor- known for Seltsame Seelen (1918)- Trick-Track (1921) and Die Dame im Koffer (1921). He died on March 22- 1923 in Berlin- Germany.,October 30- 1861 in¶ÿBad Pyrmont- Lower Saxony- Germany,1861-10-30,Bad Pyrmont- Lower Saxony- Germany,March 22- 1923 in¶ÿBerlin- Germany,22/03/1923,Berlin- Germany,,,0,0,0,0
nm0300487,Urban Gad,Peter Urban Gad,,,February 12- 1879 in¶ÿKorsÇ÷r- Denmark,1879-02-12,KorsÇ÷r- Denmark,December 26- 1947 in¶ÿCopenhagen- Denmark,26/12/1947,Copenhagen- Denmark,,"Esther Burgert Westenhagen  (1922 - 26 December¶ÿ1947)¶ÿ(his death)
Asta Nielsen  (11 May¶ÿ1912 - 1918)¶ÿ(divorced)",2,1,0,0
nm2131092,Gebhard SchÇÏtzler-Perasini,Gebhard SchÇÏtzler-Perasini,,,,,,1931,1931,,,,0,0,0,0
nm0423762,Adam Johansen,Adam Johansen,,,,,,,,,,,0,0,0,0
nm0005869,Guido Seeber,Friedrich Konrad Guido Seeber,,,June 22- 1879 in¶ÿChemnitz- Germany,1879-06-22,Chemnitz- Germany,July 2- 1940 in¶ÿBerlin- Germany,02/07/1940,Berlin- Germany,,Meta Lina Fritzsche  (1904 - ?),1,0,0,0
nm0282348,Hugo Flink,Hugo Flink,,Hugo Flink was born on August 16- 1879 in Vienna- Austria-Hungary. He was an actor- known for Der Erdstrommotor (1917)- Der Bettler vom KÇôlner Dom (1927) and Die Kassette (1917). He died on May 2- 1947 in Berlin- Germany.,August 16- 1879 in¶ÿVienna- Austria-Hungary [now Austria],1879-08-16,Vienna- Austria-Hungary [now Austria],May 2- 1947 in¶ÿBerlin- Germany,02/05/1947,Berlin- Germany,,,0,0,0,0
nm2325688,Mary Hagen,Marie SchÇôn,,Mary Hagen was born as Marie SchÇôn. She is an actress- known for Den sorte drÇ÷m (1911) and Zigeunerblut (1911).,,,,,,,,,0,0,0,0
nm0306947,Helen Gardner,Helen Louise Gardner,166,A stage actress who was an alumni of the American Academy of Dramatic Arts- Helen Gardner made her film debut with Vitagraph Pictures in 1911. In that year she appeared in Vanity Fair (1911)- to critical acclaim. The next year she formed her own film production company- Helen Gardner Productions--as far as is known- the first film actress to do so--to make feature films that would be directed by her husband- Charles L. Gaskill. Her best known picture during that period was Cleopatra (1912). After making films on her own for a few years- she returned to Vitagraph in 1915 only to retire shortly thereafter- although she did return in the early '20s for a few small parts.,September 2- 1884 in¶ÿBinghamton- New York- USA,1884-09-02,Binghamton- New York- USA,November 20- 1968 in¶ÿOrlando- Florida- USA,20/11/1968,Orlando- Florida- USA,,"Duncan C. Pell  (16 October¶ÿ1902 - ?)¶ÿ(his death)¶ÿ(1 child)
Charles L. Gaskill  (? - ?)",2,0,1,1
nm0801774,Pearl Sindelar,Pearl Sindelar,,Pearl Sindelar was born on February 5- 1887 in Virginia City- Nevada- USA. She was an actress- known for Cleopatra (1912)- The Glimpses of the Moon (1923) and Detective Craig's Coup (1914). She was married to Charles Sindelar. She died on July 9- 1958 in Glendale- California- USA.,February 5- 1887 in¶ÿVirginia City- Nevada- USA,1887-02-05,Virginia City- Nevada- USA,July 9- 1958 in¶ÿGlendale- California- USA,09/07/1958,Glendale- California- USA,,Charles Sindelar  (? - ?),1,0,0,0
nm0276160,Miss Fielding,Miss Fielding,,Miss Fielding is an actress- known for Cleopatra (1912).,,,,,,,,,0,0,0,0
